address,latitude,longitude,date,width,length,depth,category
광주광역시 광산구 월곡동 497-4번지,35.1746384,126.8072486,2018-04-11,0.1,0.1,1,하수관로 파손
경상남도 사천시 서포면 구평리 940-1,35.0080672,127.9733191,2018-04-11,0.6,1,0.05,하수관로 파손
강원특별자치도 원주시 개운동 정충각 앞,,,2018-04-13,4.8,6.3,1,지반 시공불량
대구광역시 중구 남산동 610-13번지(금강산보쌈식당앞),35.8613082,128.5899025,2018-04-14,4,0.8,1.5,하수관로 노후화
경기도 여주시 하동 138 하나빌라 앞,37.3008954,127.6301846,2018-04-15,1,1,0.5,연약지반
충청북도 청주시 청원구 율량동 1183,36.6684447,127.4787461,2018-04-17,2.5,3.5,3,하수관로 노후화
대구광역시 중구 대신동 신남역 1번출구 앞(양말골목 입구),,,2018-04-18,1,1,1,지반 시공불량
충청북도 옥천군 옥천읍 충북도립대학교 앞 운동장 인근(옥천읍 금구리 40-1번지 일원),,,2018-04-18,2,2,0.5,우수시설 노후화
부산광역시 남구  유엔로84번길 71-12,,,2018-04-19,1,2,0.5,하수관로 파손
대전광역시 서구 둔산동 문예로 정부청사 동문 입구,,,2018-04-19,2,2,2,하수관로 시공불량
충청북도 청주시 흥덕구 향정동 50,36.6486224,127.4292221,2018-04-19,0.5,0.5,0.5,하수관로 파손
경상북도 영주시 휴천동 506-3번지 앞,36.8063393,128.6185111,2018-04-19,1,1,1,우수관로 파손
경기도 수원시 팔달구  수원시청역 사거리 교차로 내,,,2018-04-19,0.5,0.3,1.1,타 지하시설물 시공불량
부산광역시 연제구  월드컵대로 224,,,2018-04-21,1,1.9,0.25,상수관로 파손
충청북도 제천시  환경사업소에서 강제동 롯데캐슬아파트 가는 길목,,,2018-04-23,4.2,10,0.1,우수관로 시공불량
충청북도 청주시 청원구  1순환로 339번길34,,,2018-04-24,2,1.5,2,하수관로 파손
강원특별자치도 고성군 거진읍 거탄진로 116(호남식당 옆),38.4452734,128.4544112,2018-04-27,2.5,10,2.5,하수관로 노후화
광주광역시 광산구 비아동 675-2번지,35.2230636,126.8193749,2018-04-27,0.4,0.4,1,하수관로 파손
강원특별자치도 원주시 중앙동 중앙시장 동원약국,,,2018-04-30,2.3,3.8,1.6,상수관로 파손
인천광역시 중구 북성동 인천역 월미은하레일 앞 도로,,,2018-04-30,1,0.5,1,타 지하시설물 시공불량
부산광역시 해운대구 우동 운촌삼거리 일원,,,2018-05-01,1,1,1,타 지하시설물 시공불량
충청북도 청주시 상당구 대신리 ,,,2018-05-01,1,1,1,하수관로 파손
전라남도 신안군 임자면 광산리 407-20,35.1018527,126.0650297,2018-05-01,3,0.8,0.1,타 지하시설물 시공불량
충청북도 청주시 청원구 내덕동 740-10,36.6610364,127.4760078,2018-05-03,2,2.5,3,하수관로 노후화
경상북도 포항시 남구 해도동 고속터미널 인근,,,2018-05-08,0.08,20,0.5,타 지하시설물 파손
광주광역시 광산구 소촌동 631-6번지,35.1462441,126.78929,2018-05-09,0.1,0.1,1,하수관로 파손
광주광역시 광산구 송정동 1001-9번지,35.137498,126.7920619,2018-05-09,0.5,0.4,1.5,하수관로 파손
인천광역시 미추홀구  경인로 270-1 일원 2차선 도로,,,2018-05-09,3,3,5,상수관로 파손
경상북도 포항시 북구 흥해읍 동해대로 1352(만남의광장 휴게소),36.093781,129.3429659,2018-05-10,3.7,2,0.12,지반 시공불량
충청북도 청주시 청원구 내덕동 188-3,36.6569123,127.4887623,2018-05-11,1.5,3,1.5,하수관로 파손
광주광역시 북구 용봉동 1248-10번지 주변,35.1777781,126.8976964,2018-05-12,0.5,0.5,2,맨홀 시공불량
광주광역시 광산구 송촌동 1-146번지,35.1380019,126.7815846,2018-05-14,0.5,1,1.5,하수관거 파손
충청북도 청주시 서원구 분평동 249-5번지,36.6122957,127.4829274,2018-05-14,1.5,1.5,2,하수관거 파손
충청북도 제천시 장락동 180-2번지,37.1422818,128.2282021,2018-05-14,4.2,4,0.1,우수시설 파손
경상북도 상주시 화동면 보미리 산 43-1번지 일원,36.3796503,127.9119438,2018-05-15,0.3,0.6,1,원인미상
경기도 용인시 처인구 김량장동 383번지,37.2339224,127.2011599,2018-05-15,1,1,1,"복합요인 (우수관로 노후화, 맨홀 파손)"
경기도 남양주시 화도읍 월산리 374-10,37.6535961,127.3320887,2018-05-16,1,2,1,우수관로 파손
광주광역시 광산구 소촌동 603-4번지,35.1459885,126.7915347,2018-05-17,1,1.2,0.1,하수관로 파손
광주광역시 광산구 월곡동 526-4번지,35.1701224,126.807623,2018-05-17,0.5,0.5,1,하수관로 파손
강원특별자치도 원주시 단계동 왕국회관 앞,,,2018-05-21,1.5,3,1,지반 시공불량
경상북도 영주시 문수면 월호리 1406번지 앞,36.7442211,128.6061421,2018-05-21,7,1,1.5,하수관로 파손
광주광역시 광산구 월곡동 545-9번지,35.1694572,126.8101517,2018-05-25,1,1,1.5,하수관거 파손
충청북도 청주시 흥덕구 복대동 204-11,36.6354162,127.4392682,2018-05-25,0.5,0.5,0.5,하수관로 파손
강원특별자치도 원주시 태장동 6612 부대 앞,,,2018-05-29,2.3,3,1.3,지반 시공불량
부산광역시 동래구 온천동 1646 ( 백옥사우나 일원),35.2042763,129.0587849,2018-05-30,1,2,1,하수관로 파손
부산광역시 사상구  장인로 77번길 33,,,2018-05-30,4,8,1,하수관로 파손
대구광역시 수성구 만촌동 달구벌대로 대륜고등학교 정문 앞,,,2018-05-30,1,1,2,맨홀 파손
충청북도 청주시 상당구 금천동 94-17,36.6262934,127.5056388,2018-05-30,2.5,1,0.5,하수관로 파손
충청북도 청주시 청원구 우암동 111-13,36.6498088,127.489891,2018-05-30,2.5,3.5,2,하수관로 노후화
강원특별자치도 원주시 단계동 무상길48-6,,,2018-05-31,1.8,2.3,1.8,상수관로 파손
충청북도 청주시 서원구 사창동 154-1번지,36.6340499,127.4584931,2018-05-31,0.5,0.5,0.5,하수관거 파손
충청북도 청주시 청원구 율량동 1015,36.6661072,127.4914217,2018-06-01,2,3,2,하수관로 파손
